"time","amplitude"
0.392333333333333,28100.2404637683
0.399520833333333,44261.7600041495
0.408125,37235.9389498903
0.416208333333333,45804.8345139807
0.424458333333333,64578.5554194263
0.432770833333333,50036.0033347368
0.442083333333333,83599.4210655586
0.4533125,82154.8036506142
0.462041666666667,112663.951687121
0.475104166666667,102019.530081316
0.48825,122789.057023489
0.502229166666667,104191.770315196
0.518375,112187.890529238
0.534104166666667,116983.682983758
0.546354166666667,119214.767489673
0.563041666666667,136035.510134889
0.580583333333333,135004.840734189
0.604625,186679.784502316
0.646416666666667,179854.952302357
0.788729166666667,291237.181873056
0.799333333333333,193042.065842482
0.814270833333333,223221.424463405
0.8230625,215843.269823829
0.830833333333333,202263.27015926
0.8414375,226974.404161266
0.847291666666667,191861.840801258
0.854854166666667,274239.072936183
0.863479166666667,216556.463427682
0.867166666666667,227309.408558366
0.8725625,263588.977287283
0.8781875,269649.332071023
0.887166666666667,243500.620241503
0.893875,180232.964756162
0.899916666666667,188655.288516754
0.905895833333333,272628.394467759
0.913604166666667,267708.664642741
0.917125,143776.948861127
0.9240625,242449.623752294
0.928958333333333,274231.357410725
0.937979166666667,180799.458664003
0.943583333333333,252060.853708934
0.948729166666667,127263.847374304
0.952770833333333,175227.343135092
0.957145833333333,138786.567344891
0.9625625,137059.227330019
0.966104166666667,109045.346060657
0.9681875,73411.114368073
